>>>>>>>>>> Start item : ../data/Leeds.mp4
::: Run time Settings : {'Config load': 1, 'Config update': {'General': 1, 'Visualizer': 1, 'Figure': 1, 'Heatmap': 1, 'System': 1, 'Calibration': 0, 'Detector': 1}, 'Config save': 1}
:::::: Start File Checking ...
:: Loading Data and Configrations ...
: Background Found.
: Satellite Map Found.
: Visual Map Found.
: Road Mask Found.
: Road Boarder Found.
::: Camera size : (1920, 1080), Region of Interest : (1920, 1080),  Environment size :(1028, 1048)

 <<< Model is running on CUDA GPU >>> 

::: Configration Saved.
type: car vehicle id: 39 position: 1403 186
type: car vehicle id: 38 position: 786 122
type: car vehicle id: 37 position: 1031 216
type: person vehicle id: 36 position: 735 884
type: person vehicle id: 35 position: 538 551
type: person vehicle id: 34 position: 519 402
type: car vehicle id: 33 position: 938 179
type: car vehicle id: 32 position: 591 15
type: car vehicle id: 31 position: 572 94
type: person vehicle id: 30 position: 683 503
type: car vehicle id: 29 position: 686 64
type: person vehicle id: 28 position: 426 316
type: car vehicle id: 27 position: 797 214
type: person vehicle id: 26 position: 696 860
type: person vehicle id: 25 position: 387 327
type: person vehicle id: 24 position: 573 537
type: person vehicle id: 23 position: 298 302
type: person vehicle id: 22 position: 335 335
type: person vehicle id: 21 position: 596 516
type: person vehicle id: 20 position: 1371 292
type: person vehicle id: 19 position: 134 523
type: car vehicle id: 18 position: 33 123
type: car vehicle id: 17 position: 1855 323
type: person vehicle id: 16 position: 132 456
type: car vehicle id: 15 position: 461 22
type: person vehicle id: 14 position: 1265 280
type: truck vehicle id: 13 position: 1800 594
type: car vehicle id: 12 position: 1632 247
type: person vehicle id: 11 position: 1489 358
type: person vehicle id: 10 position: 169 245
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 8 position: 875 99
type: person vehicle id: 7 position: 426 246
type: person vehicle id: 6 position: 376 173
type: person vehicle id: 5 position: 1443 319
type: person vehicle id: 4 position: 1554 376
type: person vehicle id: 3 position: 1365 314
type: person vehicle id: 2 position: 307 321
type: person vehicle id: 1 position: 6 513
type: car vehicle id: 39 position: 1403 186
type: car vehicle id: 38 position: 786 122
type: car vehicle id: 37 position: 1031 216
type: person vehicle id: 36 position: 735 884
type: person vehicle id: 35 position: 538 551
type: person vehicle id: 34 position: 519 402
type: car vehicle id: 33 position: 938 179
type: car vehicle id: 32 position: 591 15
type: car vehicle id: 31 position: 572 94
type: person vehicle id: 30 position: 683 503
type: car vehicle id: 29 position: 686 64
type: person vehicle id: 28 position: 426 316
type: car vehicle id: 27 position: 797 214
type: person vehicle id: 26 position: 696 860
type: person vehicle id: 25 position: 387 327
type: person vehicle id: 24 position: 573 537
type: person vehicle id: 23 position: 298 302
type: person vehicle id: 22 position: 335 335
type: person vehicle id: 21 position: 595 515
type: person vehicle id: 20 position: 1371 292
type: person vehicle id: 19 position: 134 523
type: car vehicle id: 18 position: 33 123
type: car vehicle id: 17 position: 1855 323
type: person vehicle id: 16 position: 132 456
type: car vehicle id: 15 position: 461 22
type: person vehicle id: 14 position: 1265 280
type: truck vehicle id: 13 position: 1799 594
type: car vehicle id: 12 position: 1632 247
type: person vehicle id: 11 position: 1489 358
type: person vehicle id: 10 position: 169 245
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 8 position: 875 99
type: person vehicle id: 7 position: 426 246
type: person vehicle id: 6 position: 376 173
type: person vehicle id: 5 position: 1443 319
type: person vehicle id: 4 position: 1554 376
type: person vehicle id: 3 position: 1365 314
type: person vehicle id: 2 position: 307 321
type: person vehicle id: 1 position: 6 513
type: person vehicle id: 42 position: 361 333
type: person vehicle id: 41 position: 1124 290
type: person vehicle id: 40 position: 1473 356
type: car vehicle id: 39 position: 1402 185
type: car vehicle id: 38 position: 786 123
type: car vehicle id: 37 position: 1030 215
type: person vehicle id: 36 position: 734 883
type: person vehicle id: 35 position: 535 550
type: person vehicle id: 34 position: 520 405
type: car vehicle id: 33 position: 938 179
type: car vehicle id: 32 position: 590 14
type: car vehicle id: 31 position: 571 91
type: person vehicle id: 30 position: 684 503
type: car vehicle id: 29 position: 685 64
type: person vehicle id: 28 position: 425 316
type: car vehicle id: 27 position: 794 215
type: person vehicle id: 26 position: 695 859
type: person vehicle id: 25 position: 386 326
type: person vehicle id: 24 position: 568 533
type: person vehicle id: 23 position: 296 302
type: person vehicle id: 22 position: 335 334
type: person vehicle id: 21 position: 594 517
type: person vehicle id: 20 position: 1368 295
type: person vehicle id: 19 position: 131 522
type: car vehicle id: 18 position: 32 122
type: car vehicle id: 17 position: 1854 328
type: person vehicle id: 16 position: 137 460
type: car vehicle id: 15 position: 460 21
type: person vehicle id: 14 position: 1266 281
type: truck vehicle id: 13 position: 1788 591
type: car vehicle id: 12 position: 1632 246
type: person vehicle id: 11 position: 1489 357
type: person vehicle id: 10 position: 170 245
type: person vehicle id: 9 position: 1440 336
type: person vehicle id: 8 position: 873 98
type: person vehicle id: 7 position: 426 244
type: person vehicle id: 6 position: 375 171
type: person vehicle id: 5 position: 1442 317
type: person vehicle id: 2 position: 313 324
